Geohash,GeohashBounds,Latitude_SW,Longitude_SW,Latitude_NE,Longitude_NE,Location,Latitude,Longitude,City,County,State,Country,ISO_3166_2,AvgTimeToPark,AvgTimeToParkRatio,TotalSearching,PercentSearching,AvgUniqueGeohashes,AvgTotalGeohashes,CirclingDistribution,HourlyDistribution,SearchingByHour,PercentCar,PercentMPV,PercentLDT,PercentMDT,PercentHDT,PercentOther,UpdateDate,Version
c3nftjv,"POLYGON((-114.031219482422 51.0960388183594, -114.029846191406 51.0960388183594, -114.029846191406 51.097412109375, -114.031219482422 51.097412109375, -114.031219482422 51.0960388183594))",51.096,-114.031,51.097,-114.03,POINT(-114.03066 51.09692),51.097,-114.031,Calgary,,Alberta,Canada,CA-AB,1.573,1.818,5,0.294,5,7,"{""c3nftjy"":0.0169, ""c3nftjw"":0.0787, ""c3nftjv"":0.2556, ""c3nftnh"":0.2978, ""c3nftju"":0.3511}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.4, ""07"": 0, ""08"": null, ""09"": null, ""10"": 0, ""11"": 0, ""12"": 0.4, ""13"": null, ""14"": 0, ""15"": 0, ""16"": null, ""17"": 0.2, ""18"": null, ""19"": null, ""20"": 0, ""21"": null, ""22"": null, ""23"": null}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.6667, ""07"": 0, ""08"": null, ""09"": null, ""10"": 0, ""11"": 0, ""12"": 0.3333, ""13"": null, ""14"": 0, ""15"": 0, ""16"": null, ""17"": 1, ""18"": null, ""19"": null, ""20"": 0, ""21"": null, ""22"": null, ""23"": null}",0,0,0.6,0.2,0,0.2,02-10-20,2.2
c3nfhhp,"POLYGON((-114.072418212891 50.99853515625, -114.071044921875 50.99853515625, -114.071044921875 50.9999084472656, -114.072418212891 50.9999084472656, -114.072418212891 50.99853515625))",50.999,-114.072,51,-114.071,POINT(-114.07183 50.99918),50.999,-114.072,Calgary,,Alberta,Canada,CA-AB,4.774,1.476,9,0.092,4.889,9.333,"{""c3nfhhq"":0.3099, ""c3nfh5y"":0.1138, ""c3nfhhr"":0.1156, ""c3nfhhn"":0.0798, ""c3nfh7b"":0.0911, ""c3nfhhp"":0.1636, ""c3nfh5z"":0.1262}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": 0, ""06"": 0.4, ""07"": 0, ""08"": 0.2, ""09"": 0, ""10"": 0, ""11"": 0, ""12"": 0.2, ""13"": 0, ""14"": 0.2, ""15"": 0, ""16"": null, ""17"": 0, ""18"": null, ""19"": null, ""20"": 0, ""21"": null, ""22"": 0, ""23"": null}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": 0, ""06"": 0.0833, ""07"": 0, ""08"": 0.2, ""09"": 0, ""10"": 0, ""11"": 0, ""12"": 0.2143, ""13"": 0, ""14"": 0.1, ""15"": 0, ""16"": null, ""17"": 0, ""18"": null, ""19"": null, ""20"": 0, ""21"": null, ""22"": 0, ""23"": null}",0,0.222,0.778,0,0,0,02-10-20,2.2
c3nfkkn,"POLYGON((-114.062805175781 51.04248046875, -114.061431884766 51.04248046875, -114.061431884766 51.0438537597656, -114.062805175781 51.0438537597656, -114.062805175781 51.04248046875))",51.042,-114.063,51.044,-114.061,POINT(-114.06217 51.04336),51.043,-114.062,Calgary,,Alberta,Canada,CA-AB,8.072,1.408,6,0.02,4.667,7.167,"{""c3nfkkp"":0.1735, ""c3nfkkj"":0.0783, ""c3nfkkm"":0.0049, ""c3nfkkr"":0.1311, ""c3nfk7v"":0.0324, ""c3nfkkq"":0.0437, ""c3nfkkn"":0.3722, ""c3nfk7z"":0.1239, ""c3nfk7y"":0.0401}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0, ""07"": 0, ""08"": 0, ""09"": 0.2, ""10"": 0, ""11"": 0, ""12"": 0.2, ""13"": 0, ""14"": 0.2, ""15"": 0, ""16"": 0, ""17"": 0, ""18"": 0, ""19"": 0, ""20"": 0, ""21"": 0.2, ""22"": 0.2, ""23"": 0}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0, ""07"": 0, ""08"": 0, ""09"": 0.1429, ""10"": 0, ""11"": 0, ""12"": 0.15, ""13"": 0, ""14"": 0.0111, ""15"": 0, ""16"": 0, ""17"": 0, ""18"": 0, ""19"": 0, ""20"": 0, ""21"": 0.0833, ""22"": 0.0294, ""23"": 0}",0.5,0,0.333,0,0,0.167,02-10-20,2.2
c3nfdmh,"POLYGON((-114.153442382812 51.0919189453125, -114.152069091797 51.0919189453125, -114.152069091797 51.0932922363281, -114.153442382812 51.0932922363281, -114.153442382812 51.0919189453125))",51.092,-114.153,51.093,-114.152,POINT(-114.15236 51.09233),51.092,-114.152,Calgary,,Alberta,Canada,CA-AB,3.519,1.022,8,0.216,4.25,6.875,"{""c3nfdkg"":0.2803, ""c3nfdmj"":0.1172, ""c3nfdku"":0.1366, ""c3nfdkv"":0.0706, ""c3nfdm5"":0.0921, ""c3nfdm7"":0.1161, ""c3nfdmh"":0.187}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.1667, ""10"": 0, ""11"": 0.1667, ""12"": 0, ""13"": 0.1667, ""14"": 0, ""15"": 0.1667, ""16"": 0.1667, ""17"": 0, ""18"": 0, ""19"": 0.1667, ""20"": null, ""21"": null, ""22"": 0, ""23"": null}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 1, ""10"": 0, ""11"": 1, ""12"": 0, ""13"": 1, ""14"": 0, ""15"": 0.3333, ""16"": 0.1667, ""17"": 0, ""18"": 0, ""19"": 0.2, ""20"": null, ""21"": null, ""22"": 0, ""23"": null}",0,0.75,0.125,0,0.125,0,02-10-20,2.2
c3nfkjh,"POLYGON((-114.076538085938 51.0479736328125, -114.075164794922 51.0479736328125, -114.075164794922 51.0493469238281, -114.076538085938 51.0493469238281, -114.076538085938 51.0479736328125))",51.048,-114.077,51.049,-114.075,POINT(-114.07592 51.04845),51.048,-114.076,Calgary,,Alberta,Canada,CA-AB,5.764,1.485,6,0.177,5.333,8.167,"{""c3nfkj5"":0.0204, ""c3nfkjj"":0.1516, ""c3nfkhu"":0.1526, ""c3nfkj7"":0.0538, ""c3nfkjk"":0.0396, ""c3nfkjh"":0.3722, ""c3nfkhv"":0.138, ""c3nfkjm"":0.0346, ""c3nfkhg"":0.0371}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0, ""07"": 0.1667, ""08"": 0, ""09"": 0.1667, ""10"": 0.1667, ""11"": 0.1667, ""12"": 0, ""13"": 0.1667, ""14"": 0, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": 0.1667, ""20"": null, ""21"": null, ""22"": null, ""23"": null}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0, ""07"": 0.25, ""08"": 0, ""09"": 0.25, ""10"": 0.3333, ""11"": 0.25, ""12"": 0, ""13"": 0.3333, ""14"": 0, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": 1, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0.833,0.167,0,0,02-10-20,2.2
c3nfkmm,"POLYGON((-114.064178466797 51.0493469238281, -114.062805175781 51.0493469238281, -114.062805175781 51.0507202148438, -114.064178466797 51.0507202148438, -114.064178466797 51.0493469238281))",51.049,-114.064,51.051,-114.063,POINT(-114.06335 51.04987),51.05,-114.063,Calgary,,Alberta,Canada,CA-AB,5.26,1.888,7,0.171,5.429,8.857,"{""c3nfkmm"":0.1541, ""c3nfkms"":0.1351, ""c3nfkmn"":0.1046, ""c3nfkmq"":0.1512, ""c3nfkmh"":0.0523, ""c3nfkmt"":0.1356, ""c3nfkmj"":0.043, ""c3nfkmk"":0.149, ""c3nfkmw"":0.0752}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": 0, ""06"": 0, ""07"": 0, ""08"": 0.1818, ""09"": 0.2727, ""10"": 0.1818, ""11"": 0, ""12"": 0.1818, ""13"": 0, ""14"": 0.1818, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": 0, ""06"": 0, ""07"": 0, ""08"": 0.1, ""09"": 0.3, ""10"": 0.5, ""11"": 0, ""12"": 1, ""13"": 0, ""14"": 0.5, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0.143,0.571,0.143,0.143,0,02-10-20,2.2
c3nfz55,"POLYGON((-113.946075439453 51.1248779296875, -113.944702148438 51.1248779296875, -113.944702148438 51.1262512207031, -113.946075439453 51.1262512207031, -113.946075439453 51.1248779296875))",51.125,-113.946,51.126,-113.945,POINT(-113.94516 51.12546),51.125,-113.945,Calgary,,Alberta,Canada,CA-AB,3.642,1.534,6,0.333,4.833,6.833,"{""c3nfz4u"":0.1733, ""c3nfz57"":0.0183, ""c3nfz5h"":0.1203, ""c3nfz5k"":0.1346, ""c3nfz4f"":0.0041, ""c3nfz55"":0.4699, ""c3nfz56"":0.0795}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0, ""08"": null, ""09"": 0.25, ""10"": null, ""11"": 0.25, ""12"": 0, ""13"": 0.25, ""14"": null, ""15"": 0, ""16"": 0.25, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0, ""08"": null, ""09"": 0.5, ""10"": null, ""11"": 0.4, ""12"": 0, ""13"": 0.6667, ""14"": null, ""15"": 0, ""16"": 0.3333, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0.167,0.333,0,0.333,0.167,02-10-20,2.2
c3ncs6p,"POLYGON((-114.061431884766 50.899658203125, -114.06005859375 50.899658203125, -114.06005859375 50.9010314941406, -114.061431884766 50.9010314941406, -114.061431884766 50.899658203125))",50.9,-114.061,50.901,-114.06,POINT(-114.06038 50.90026),50.9,-114.06,Calgary,,Alberta,Canada,CA-AB,5.353,1.021,5,0.227,6,8.8,"{""c3ncs6n"":0.1465, ""c3ncs9b"":0.0666, ""c3ncs3y"":0.0541, ""c3ncsd0"":0.103, ""c3ncsd2"":0.0499, ""c3ncs6q"":0.0916, ""c3ncs6r"":0.0699, ""c3ncs6p"":0.4183}","{""00"": null, ""01"": null, ""02"": null, ""03"": 0.25, ""04"": 0, ""05"": 0, ""06"": null, ""07"": null, ""08"": 0.25, ""09"": 0, ""10"": 0, ""11"": null, ""12"": 0, ""13"": 0, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": 0, ""19"": null, ""20"": 0, ""21"": 0.25, ""22"": 0.25, ""23"": null}","{""00"": null, ""01"": null, ""02"": null, ""03"": 0.6667, ""04"": 0, ""05"": 0, ""06"": null, ""07"": null, ""08"": 0.5, ""09"": 0, ""10"": 0, ""11"": null, ""12"": 0, ""13"": 0, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": 0, ""19"": null, ""20"": 0, ""21"": 0.25, ""22"": 0.3333, ""23"": null}",0,0,0,0.2,0.8,0,02-10-20,2.2
c3nftf9,"POLYGON((-114.003753662109 51.0781860351562, -114.002380371094 51.0781860351562, -114.002380371094 51.0795593261719, -114.003753662109 51.0795593261719, -114.003753662109 51.0781860351562))",51.078,-114.004,51.08,-114.002,POINT(-114.00338 51.07885),51.079,-114.003,Calgary,,Alberta,Canada,CA-AB,4.26,1.086,5,0.263,4.8,7.6,"{""c3nftf9"":0.6298, ""c3nftf3"":0.0234, ""c3nftf2"":0.0925, ""c3nftfb"":0.0917, ""c3nftf8"":0.1626}","{""00"": null, ""01"": 0, ""02"": 0.3333, ""03"": null, ""04"": 0, ""05"": 0.3333, ""06"": null, ""07"": 0, ""08"": 0, ""09"": 0, ""10"": null, ""11"": null, ""12"": 0.3333, ""13"": null, ""14"": 0, ""15"": 0, ""16"": 0, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}","{""00"": null, ""01"": 0, ""02"": 0.75, ""03"": null, ""04"": 0, ""05"": 0.5, ""06"": null, ""07"": 0, ""08"": 0, ""09"": 0, ""10"": null, ""11"": null, ""12"": 1, ""13"": null, ""14"": 0, ""15"": 0, ""16"": 0, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0.2,0,0.8,0,02-10-20,2.2
c3nfkkc,"POLYGON((-114.069671630859 51.0466003417969, -114.068298339844 51.0466003417969, -114.068298339844 51.0479736328125, -114.069671630859 51.0479736328125, -114.069671630859 51.0466003417969))",51.047,-114.07,51.048,-114.068,POINT(-114.0688 51.04757),51.048,-114.069,Calgary,,Alberta,Canada,CA-AB,6.874,2.118,9,0.132,5.889,8.778,"{""c3nfkm1"":0.0746, ""c3nfkkb"":0.174, ""c3nfkk8"":0.1099, ""c3nfkkc"":0.1121, ""c3nfkkd"":0.2325, ""c3nfkkf"":0.0659, ""c3nfkk9"":0.02, ""c3nfkm0"":0.1392, ""c3nfkm4"":0.0719}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0, ""07"": 0.1429, ""08"": 0, ""09"": 0.1429, ""10"": 0.1429, ""11"": 0.1429, ""12"": 0.1429, ""13"": 0.1429, ""14"": 0, ""15"": null, ""16"": 0.1429, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0, ""07"": 0.1458, ""08"": 0, ""09"": 0.1429, ""10"": 0.3333, ""11"": 0.0556, ""12"": 0.3333, ""13"": 0.25, ""14"": 0, ""15"": null, ""16"": 0.5, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0.778,0,0,0.222,02-10-20,2.2
